,name,age
0,Aberfeldy,12 Year Old
1,Aberfeldy,16 Year Old
2,Aberfeldy,21 Year Old
3,Aberlour,10 Year Old
4,Aberlour Double Cask Matured,12 Year Old
5,Aberlour Double Cask Matured,16 Year Old
6,Aberlour,18 Year Old
7,Aberlour,18 Year Old
8,Aberlour June Single Cask,23 Year Old
9,Aberlour A'Bunadh, 
10,Aberlour A'Bunadh, 
11,Aberlour Casg Annamh, 
12,Ailsa Bay Single Malt, 
13,Annandale Man O’Sword, 
14,Ardbeg,10 Year Old
15,Ardbeg An Oa, 
16,Ardbeg Corryvreckan, 
17,Ardbeg Galileo, 
18,Ardbeg Kelpie - Committee Release, 
19,Ardbeg Perpetuum - Bicentenary Committee Release, 
20,Ardbeg Supernova - Committee Release, 
21,Ardbeg Uigeadail, 
22,Ardmore,10 Year Old
23,Ardmore,20 Year Old
24,Ardmore Young Rebels Collection No.4,6 Year Old
25,Ardmore - Berry Bros. & Rudd,8 Year Old
26,Arran - Sauternes Cask Finish, 
27,Arran,10 Year Old
28,Arran,14 Year Old
29,Arran,18 Year Old
30,Arran - Old Malt Cask,18 Year Old
31,Arran Machrie Moor Peated Cask Strength - Fourth Edition, 
32,Arran Port Cask Finish, 
33,Arran The Bothy Quarter Cask -, 
34,Arran The Bothy Quarter Cask -, 
35,Auchentoshan,12 Year Old
36,Auchentoshan,18 Year Old
37,Auchentoshan,21 Year Old
38,Auchentoshan American Oak, 
39,Auchentoshan Blood Oak, 
40,Auchentoshan Classic, 
41,Auchentoshan Heartwood 1l, 
42,Auchentoshan The Bartender's Edition, 
43,Auchentoshan Three Wood, 
44,Auchroisk - Flora and Fauna,10 Year Old
45,Auchroisk Managers Choice, 
46,Auchroisk - Cask Strength Collection,26 Year Old
47,Aultmore,12 Year Old
48,Balblair 1st Release, 
49,Balblair,21 Year Old
50,Balblair Cask Collection,6 Year Old
51,Ballechin - Straight From The Cask,13 Year Old
52,Ballechin - Straight From The Cask,14 Year Old
53,Balvenie Single Barrel - First Fill,12 Year Old
54,Balvenie Triple Cask,12 Year Old
55,Balvenie Caribbean Cask,14 Year Old
56,Balvenie Single Barrel Sherry Cask,15 Year Old
57,Balvenie Triple Cask,16 Year Old
58,Balvenie Madeira Cask Finish,21 Year Old
59,Balvenie PortWood Finish,21 Year Old
60,Balvenie Single Barrel Traditional Oak,25 Year Old
61,Balvenie Triple Cask,25 Year Old
62,Balvenie,30 Year Old
63,Balvenie DoubleWood,12 Year Old
64,Balvenie DoubleWood,12 Year Old
65,Balvenie DoubleWood,17 Year Old
66,Balvenie Founders Reserve - Cognac Bottle 75cl, 
67,Balvenie Peat Week Aged - Vintage,14 Year Old
68,Beinn Dubh Flying Scotsman, 
69,Beinn Dubh The Black, 
70,Ben Nevis - The Single Malts of Scotland,20 Year Old
71,Ben Nevis - Old Particular,21 Year Old
72,BenRiach,10 Year Old
73,BenRiach,20 Year Old
74,BenRiach Moscatel Wood Finish,22 Year Old
75,BenRiach Authenticus Peated,25 Year Old
76,BenRiach Birnie Moss Intensely Peated, 
77,BenRiach Curiositas,10 Year Old
78,BenRiach Heart of Speyside, 
79,BenRiach Peated Cask Strength -, 
80,Benrinnes - Flora and Fauna,15 Year Old
81,Benrinnes Single Cask,18 Year Old
82,Benrinnes - Rare Select,24 Year Old
83,Benromach,10 Year Old
84,Benromach - 100° Proof,10 Year Old
85,Benromach,15 Year Old
86,Benromach Organic, 
87,Benromach Triple Distilled, 
88,Bladnoch Adela,15 Year Old
89,Bladnoch Samsara, 
90,Blair Athol - Signatory,10 Year Old
91,Blair Athol - Flora and Fauna,12 Year Old
92,Blair Athol,23 Year Old
93,Blair Athol Cask Collection,8 Year Old
94,Bowmore,12 Year Old
95,Bowmore,15 Year Old
96,Bowmore,18 Year Old
97,Bowmore, 
98,Bowmore,25 Year Old
99,Bowmore - The Vintner's Trilogy,26 Year Old
100,Bowmore Black Rock 1l, 
101,Bowmore Legend, 
102,Bowmore No.1, 
103,Bowmore Springtide, 
104,Bowmore Vault Edition - Atlantic Sea Salt, 
105,Bruichladdich Black Art 6.1,26 Year Old
106,Bruichladdich - The Laddie Eight,8 Year Old
107,Bruichladdich Islay Barley, 
108,Bruichladdich Octomore 02.1, 
109,Bruichladdich Octomore 02.2 Orpheus, 
110,Bruichladdich Octomore 06.1 Scottish Barley,5 Year Old
111,Bruichladdich Scottish Barley - The Classic Laddie, 
112,Bruichladdich The Organic, 
113,Bunnahabhain,12 Year Old
114,Bunnahabhain,18 Year Old
115,Bunnahabhain,25 Year Old
116,Bunnahabhain Cruach Mhòna, 
117,Bunnahabhain Mòine, 
118,Bunnahabhain Stiùireadair, 
119,Bunnahabhain Toiteach a Dhà, 
120,Bårelegs, 
121,Caol Ila,12 Year Old
122,Caol Ila Unpeated,15 Year Old
123,Caol Ila,18 Year Old
124,Caol Ila Unpeated,18 Year Old
125,Caol Ila Moscatel Cask Finish - Distillers Edition, 
126,Caol Ila,25 Year Old
127,Caol Ila Cask Strength,34 Year Old
128,Caol Ila Moch, 
129,Cardhu,12 Year Old
130,Cardhu,15 Year Old
131,Cardhu,18 Year Old
132,Cardhu Rare Malts,27 Year Old
133,Cardhu Gold Reserve, 
134,Cask Islay, 
135,Clynelish,14 Year Old
136,Clynelish Select Reserve, 
137,Crabbie,30 Year Old
138,Crabbie,8 Year Old
139,Cragganmore,12 Year Old
140,Cragganmore Port Wood Finish - Distillers Edition, 
141,Craigellachie,13 Year Old
142,Craigellachie,17 Year Old
143,Croftengea - The Golden Cask,7 Year Old
144,Dailuaine - Flora and Fauna,16 Year Old
145,Dailuaine Small Batch,8 Year Old
146,Dalmore,12 Year Old
